,Samlpe,Type,MSI.score,Genes
5788,TCGA-98-7454-01,LUSC,0.379510066553068,7.39297181713907
5789,TCGA-98-8020-01,LUSC,0.394075065625738,7.0417453791236
5790,TCGA-98-8021-01,LUSC,0.369271040025094,6.77529837399119
5791,TCGA-98-8022-01,LUSC,0.361656083062749,7.08542622529741
5792,TCGA-98-8023-01,LUSC,0.426425790742027,7.2137236548015
5793,TCGA-98-A538-01,LUSC,0.414676780426886,7.01939364171983
5794,TCGA-98-A539-01,LUSC,0.411317768336971,6.77275042527524
5795,TCGA-98-A53A-01,LUSC,0.413052428548527,7.76949461212094
5796,TCGA-98-A53B-01,LUSC,0.409255146684838,6.82120951000602
5797,TCGA-98-A53C-01,LUSC,0.414785005552843,6.3063811942198
5798,TCGA-98-A53H-01,LUSC,0.423847054598434,6.6704269508907
5799,TCGA-98-A53I-01,LUSC,0.410341104614087,7.14905046967688
5800,TCGA-98-A53J-01,LUSC,0.402940419799033,7.55609259405237
5801,TCGA-J1-A4AH-01,LUSC,0.413052428548527,6.58588066405895
5802,TCGA-L3-A4E7-01,LUSC,0.410232545598205,6.83244377492397
5803,TCGA-L3-A524-01,LUSC,0.410015403057023,6.72477780539834
5804,TCGA-LA-A446-01,LUSC,0.420293749346622,7.57977746937354
5805,TCGA-LA-A7SW-01,LUSC,0.427069755210786,6.19372372757222
5806,TCGA-MF-A522-01,LUSC,0.409906819529264,7.84778065790109
5807,TCGA-NC-A5HD-01,LUSC,0.402285591869996,7.65853247890312
5808,TCGA-NC-A5HE-01,LUSC,0.400975043673087,7.64268383780117
5809,TCGA-NC-A5HF-01,LUSC,0.384602457650755,6.98421374348255
5810,TCGA-NC-A5HG-01,LUSC,0.420401553945282,8.0197385610328
5811,TCGA-NC-A5HH-01,LUSC,0.428035163281905,8.07616132895768
5812,TCGA-NC-A5HI-01,LUSC,0.399553938384354,7.38492344124558
5813,TCGA-NC-A5HJ-01,LUSC,0.383496944155365,7.6333687662624
5814,TCGA-NC-A5HK-01,LUSC,0.394843361530861,6.97006773293816
5815,TCGA-NC-A5HL-01,LUSC,0.396159489073155,7.62270203202168
5816,TCGA-NC-A5HM-01,LUSC,0.398131431876634,7.63976752623303
5817,TCGA-NC-A5HN-01,LUSC,0.425244442148101,8.17647914770459
5818,TCGA-NC-A5HO-01,LUSC,0.399006986472397,6.55571407742569
5819,TCGA-NC-A5HP-01,LUSC,0.403594950641665,8.0041721267959
5820,TCGA-NC-A5HQ-01,LUSC,0.400428630364699,7.11469579414958
5821,TCGA-NC-A5HR-01,LUSC,0.40261304298717,7.69360456369352
5822,TCGA-NC-A5HT-01,LUSC,0.403594950641665,6.64333223198046
5823,TCGA-NK-A5CR-01,LUSC,0.417163906623976,7.73508792120381
5824,TCGA-NK-A5CT-01,LUSC,0.413810687024985,7.18088434674967
5825,TCGA-NK-A5CX-01,LUSC,0.400865777566253,6.99028291522831
5826,TCGA-NK-A5D1-01,LUSC,0.39539189392821,8.32933784533146
5827,TCGA-NK-A7XE-01,LUSC,0.426103700685049,7.99329261514404
5828,TCGA-O2-A52N-01,LUSC,0.404685175919036,7.6145394577466
5829,TCGA-O2-A52Q-01,LUSC,0.400210007081831,7.81887429522905
5830,TCGA-O2-A52S-01,LUSC,0.411317768336971,7.73120357472448
5831,TCGA-O2-A52V-01,LUSC,0.408929199842869,7.21269871292364
5832,TCGA-O2-A52W-01,LUSC,0.396817102869038,7.4476290592891
5833,TCGA-O2-A5IB-01,LUSC,0.406536670205172,7.46726494188345
5834,TCGA-XC-AA0X-01,LUSC,0.427391629686718,6.51551967006716
5835,TCGA-3H-AB3K-01,MESO,0.369941022254266,6.86679523536489
5836,TCGA-3H-AB3L-01,MESO,0.374399636761441,7.50353479558898
5837,TCGA-3H-AB3M-01,MESO,0.397912460176906,7.8237611164738
5838,TCGA-3H-AB3O-01,MESO,0.405447843707535,6.76556757596045
5839,TCGA-3H-AB3S-01,MESO,0.383828687162435,6.91220051578924
5840,TCGA-3H-AB3T-01,MESO,0.400975043673087,7.56340299596701
5841,TCGA-3H-AB3U-01,MESO,0.387472834405935,7.20907947431821
5842,TCGA-3H-AB3X-01,MESO,0.391327806843611,7.18804971103481
5843,TCGA-3U-A98D-01,MESO,0.399225792120938,7.14113167002002
5844,TCGA-3U-A98E-01,MESO,0.395720913285953,6.79780743230171
5845,TCGA-3U-A98F-01,MESO,0.406754336928712,7.80796540466968
5846,TCGA-3U-A98G-01,MESO,0.395720913285953,6.36806659803881
5847,TCGA-3U-A98H-01,MESO,0.390997783957376,6.90047265508258
5848,TCGA-3U-A98I-01,MESO,0.395720913285953,7.07802333549884
5849,TCGA-3U-A98J-01,MESO,0.372172051912351,6.57408728554607
5850,TCGA-LK-A4NW-01,MESO,0.397583940298248,7.36637600162707
5851,TCGA-LK-A4NZ-01,MESO,0.403049528896525,7.07602795471558
5852,TCGA-LK-A4O0-01,MESO,0.411643176039014,7.49580773603932
5853,TCGA-LK-A4O2-01,MESO,0.399663303888018,7.40454787588835
5854,TCGA-LK-A4O4-01,MESO,0.400210007081831,5.69502910831161
5855,TCGA-LK-A4O5-01,MESO,0.397364885478379,7.15852596941588
5856,TCGA-LK-A4O6-01,MESO,0.394953084696361,6.3497540507165
5857,TCGA-LK-A4O7-01,MESO,0.407733430987933,6.21227809669748
5858,TCGA-MQ-A4KX-01,MESO,0.403594950641665,6.59447377982294
5859,TCGA-MQ-A4LC-01,MESO,0.390887759550009,6.64341875228443
5860,TCGA-MQ-A4LI-01,MESO,0.412402175364041,6.78997668341612
5861,TCGA-MQ-A4LJ-01,MESO,0.396707521383976,6.77762787096397
5862,TCGA-MQ-A4LM-01,MESO,0.400647220522828,7.26885725022732
5863,TCGA-MQ-A4LP-01,MESO,0.401630466584741,7.40015043585373
5864,TCGA-MQ-A4LV-01,MESO,0.401302792349114,6.91991514908719
5865,TCGA-MQ-A6BL-01,MESO,0.405012082912592,6.46748268397487
5866,TCGA-MQ-A6BQ-01,MESO,0.393416200471545,6.75289168673517
5867,TCGA-MQ-A6BR-01,MESO,0.431034530351614,6.35148645118969
5868,TCGA-MQ-A6BS-01,MESO,0.411100789085413,7.3775599751283
5869,TCGA-NQ-A57I-01,MESO,0.406645507672003,7.66488067228057
5870,TCGA-NQ-A638-01,MESO,0.399882010026675,7.15451112373683
5871,TCGA-SC-A6LM-01,MESO,0.394404385400625,7.49486548852367
5872,TCGA-SC-A6LN-01,MESO,0.397474417045898,6.92598656221157
5873,TCGA-SC-A6LP-01,MESO,0.424707145564151,7.16597161838841
5874,TCGA-SC-A6LQ-01,MESO,0.394953084696361,7.23047630698888
5875,TCGA-SC-A6LR-01,MESO,0.397583940298248,6.79066130311954
5876,TCGA-SC-AA5Z-01,MESO,0.395611248503802,7.03572856855538
5877,TCGA-SH-A7BC-01,MESO,0.393306360352653,7.0782104480754
5878,TCGA-SH-A7BD-01,MESO,0.393745670660825,6.15661408983468
5879,TCGA-SH-A7BH-01,MESO,0.419215260067954,5.95120994207064
