,Samlpe,Type,TMB.score,Genes
219,TCGA-E7-A4IJ-01,BLCA,8.8926634727,7.78342642503799
220,TCGA-E7-A4XJ-01,BLCA,1.1002635603,6.13271405495187
221,TCGA-E7-A519-01,BLCA,2.1090906023,5.44968768155443
222,TCGA-E7-A541-01,BLCA,11.885522065,7.55323260609197
223,TCGA-E7-A5KE-01,BLCA,4.6008013281,7.14712415164613
224,TCGA-E7-A5KF-01,BLCA,4.9474797216,7.32076983478422
225,TCGA-E7-A677-01,BLCA,5.6877685657,6.94023580647102
226,TCGA-E7-A678-01,BLCA,1.3034682306,6.6603942394957
227,TCGA-E7-A6MD-01,BLCA,10.958801079,7.35795499112294
228,TCGA-E7-A6ME-01,BLCA,3.6643875041,7.68603986356686
229,TCGA-E7-A6MF-01,BLCA,1.195804199,6.26398485058722
230,TCGA-E7-A7DU-01,BLCA,7.5627933767,7.13036998179951
231,TCGA-E7-A7DV-01,BLCA,8.5051615661,7.51371495578071
232,TCGA-E7-A7PW-01,BLCA,1.974506393,7.31128656095169
233,TCGA-E7-A7XN-01,BLCA,23.68614465,6.95109573487295
234,TCGA-E7-A85H-01,BLCA,10.767234895,7.32167276602816
235,TCGA-E7-A8O7-01,BLCA,0.7239031992,7.05407443796516
236,TCGA-E7-A8O8-01,BLCA,3.1969999596,6.70250634407497
237,TCGA-E7-A97P-01,BLCA,5.4461114493,7.21177518190593
238,TCGA-E7-A97Q-01,BLCA,1.8807340966,6.85158248096561
239,TCGA-FD-A3B3-01,BLCA,4.4622835265,7.36316063901111
240,TCGA-FD-A3B4-01,BLCA,2.0978678457,7.49692496623612
241,TCGA-FD-A3B5-01,BLCA,4.1898980457,6.97273572617038
242,TCGA-FD-A3B6-01,BLCA,7.4514286018,7.6170360231727
243,TCGA-FD-A3B7-01,BLCA,1.7782725605,7.15286187494039
244,TCGA-FD-A3B8-01,BLCA,0.6260289046,6.95879301496969
245,TCGA-FD-A3N5-01,BLCA,8.367949915,7.07549202884916
246,TCGA-FD-A3N6-01,BLCA,3.2297502197,6.78637504754581
247,TCGA-FD-A3NA-01,BLCA,4.5411873058,7.1511047118915
248,TCGA-FD-A3SJ-01,BLCA,6.4503898723,7.76414886546578
249,TCGA-FD-A3SL-01,BLCA,5.6886942195,6.67756884967303
250,TCGA-FD-A3SM-01,BLCA,5.1729587476,5.89606669679616
251,TCGA-FD-A3SN-01,BLCA,9.5016601079,6.90991828158359
252,TCGA-FD-A3SO-01,BLCA,9.1128091677,7.6427830834824
253,TCGA-FD-A3SP-01,BLCA,2.9178906732,7.22375934439481
254,TCGA-FD-A3SQ-01,BLCA,1.8107780195,6.48970585236934
255,TCGA-FD-A3SR-01,BLCA,3.7549281954,6.46887390064244
256,TCGA-FD-A3SS-01,BLCA,12.092864727,6.76622018632207
257,TCGA-FD-A43N-01,BLCA,4.5417956903,6.78634137067399
258,TCGA-FD-A43P-01,BLCA,10.792356404,7.78828152072774
259,TCGA-FD-A43S-01,BLCA,0,6.10323384123008
260,TCGA-FD-A43U-01,BLCA,1.6649157303,6.34483399399764
261,TCGA-FD-A43X-01,BLCA,7.9630439946,7.0683260791575
262,TCGA-FD-A43Y-01,BLCA,1.6786987133,6.72729213141365
263,TCGA-FD-A5BR-01,BLCA,2.4927506555,6.5014363786165
264,TCGA-FD-A5BS-01,BLCA,0.5456130066,6.06275052261297
265,TCGA-FD-A5BT-01,BLCA,3.0002408088,6.31643839383408
266,TCGA-FD-A5BU-01,BLCA,1.9831279878,6.85371615418706
267,TCGA-FD-A5BV-01,BLCA,3.1497337463,7.05762120572538
268,TCGA-FD-A5BX-01,BLCA,9.4798750812,6.55311207592722
269,TCGA-FD-A5BY-01,BLCA,1.2308392675,7.17061362834196
270,TCGA-FD-A5BZ-01,BLCA,3.0215777024,6.96862745616474
271,TCGA-FD-A5C0-01,BLCA,3.0348302891,7.71559968691675
272,TCGA-FD-A5C1-01,BLCA,3.409641785,7.61717372305418
273,TCGA-FD-A62N-01,BLCA,2.3386537218,6.72858408736407
274,TCGA-FD-A62O-01,BLCA,4.6012753355,7.35594025719343
275,TCGA-FD-A62P-01,BLCA,9.7628533597,7.00514359696352
276,TCGA-FD-A62S-01,BLCA,1.9191409215,7.12074899254094
277,TCGA-FD-A6TA-01,BLCA,7.3373790434,6.30914457147712
278,TCGA-FD-A6TB-01,BLCA,5.0510932268,7.04449743345568
279,TCGA-FD-A6TC-01,BLCA,24.749119059,8.2888239533646
280,TCGA-FD-A6TD-01,BLCA,3.491502931,7.39917270203929
281,TCGA-FD-A6TE-01,BLCA,6.4136240466,7.81119188791652
282,TCGA-FD-A6TF-01,BLCA,3.6868228624,7.63487980842412
283,TCGA-FD-A6TG-01,BLCA,10.566832013,6.63903595529503
284,TCGA-FD-A6TH-01,BLCA,4.515656345,6.87852514140592
285,TCGA-FD-A6TI-01,BLCA,3.4644209324,5.92195954754837
